License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
402R-00253,SILVERPEAK CORP,The Dab by Silverpeak,Retail Marijuana Store,"2119 Larimer Street, Unit 1",Denver,80205,2025-05-01
402R-00137,SILVERPEAK CORP,The Dab by Silverpeak,Retail Marijuana Store,2748 West Alameda Avenue,Denver,80219,2025-05-01
402R-00462,SILVERPEAK CORP,The Dab by Silverpeak,Retail Marijuana Store,23 Mel Ray Road,Glenwood Springs,81601,2025-05-01
402R-00816,SILVERPEAK CORP,The Dab by Silverpeak ,Retail Marijuana Store,1063 Courtesy Road ,Louisville,80027,2025-05-01
402R-00794,SILVERPEAK CORP,The Dab by Silverpeak,Retail Marijuana Store,972 West Dillon Road  Unit B,Louisville,80027,2025-05-01
402R-00693,SILVERPEAK CORP,None,Retail Marijuana Store,"393 East 2nd Street, Unit 6",Parachute,81635,2025-05-01
402R-00510,SIMPLY PURE COLORADO LLC,Simply Pure,Retail Marijuana Store,2000 West 32nd Avenue,Denver,80211,2025-05-01
402R-00965,SISTEM BONNIE BRAE LLC,Silver Stem Fine Cannabis,Retail Marijuana Store,2331 East Ohio Avenue,Denver,80209,2025-05-01
402R-00817,SISTEM COMMERCE CITY LLC,Silver Stem Fine Cannabis,Retail Marijuana Store,"5275 Quebec Street, Unit 105",Commerce City,80022,2025-05-01
402R-01068,SISTEM COS1 LLC,Silver Stem Fine Cannabis,Retail Marijuana Store,5156 Centennial Boulevard,Colorado Springs,80919,2025-05-01
402R-01069,SISTEM COS2 LLC,Silver Stem Fine Cannabis,Retail Marijuana Store,410 South 8th Street Unit B,Colorado Springs,80905,2025-05-01
402R-00366,SISTEM FRASER LLC,Silver Stem Fine Cannabis,Retail Marijuana Store,511 Zerex Street  Suite 203,Fraser,80442,2025-05-01
402R-00757,SISTEM SHERIDAN LLC,Silver Stem Fine Cannabis,Retail Marijuana Store,3701 South Santa Fe Drive Unit 7,Sheridan,80110,2025-05-01
402R-00101,SIXTY-SIX MANAGEMENT LLC,Opuntia Cannabis,Retail Marijuana Store,2262 South Broadway Street,Denver,80210,2025-05-01
402R-00600,SIXTY-SIX MANAGEMENT LLC,Opuntia Cannabis,Retail Marijuana Store,2268 South Delaware Street,Denver,80223,2025-05-01
402R-00210,SKINNY PINEAPPLE INC,The Farm Marijuana Dispensary Boulder,Retail Marijuana Store,2801 Iris Avenue,Boulder,80301,2025-05-01
402R-00807,SL ADAMS LLC,Snaxland,Retail Marijuana Store,6299 Federal Boulevard ,Denver,80221,2025-05-01
402R-00554,SMOKE HOLDCO LLC,Star Buds,Retail Marijuana Store,5740 South College Avenue Unit A,Fort Collins,80525,2025-05-01
402R-00169,SMOKE HOLDCO LLC,Star Buds,Retail Marijuana Store,2502 8th Avenue,Garden City,80631,2025-05-01
402R-00981,SMOKIN' COWBOY LLC,None,Retail Marijuana Store,7840 6th Street,Wellington,80549,2025-05-01
402R-01058,SOCIAL REUNION LLC,Social Cannabis Dispensary,Retail Marijuana Store,18494 104th Avenue,Commerce City,80022,2025-05-01
402R-00777,SOFA KING MEDICINAL WELLNESS PRODUCTS LLC,SKM,Retail Marijuana Store,1077 County Road 308,Dumont,80436,2025-05-01
402R-00238,SOLACE MEDS COLFAX LLC,None,Retail Marijuana Store,4615 East Colfax Avenue ,Denver,80220,2025-05-01
402R-00239,SOLACE MEDS LLC,None,Retail Marijuana Store,"301 Smokey Street, Unit A",Fort Collins,80525,2025-05-01
402R-00910,SOLACE MEDS MASON LLC ,None,Retail Marijuana Store,3516 South Mason Street,Fort Collins,80525,2025-05-01
402R-00153,SOLACE MEDS OF WHEAT RIDGE LLC,None,Retail Marijuana Store,4845 Van Gordon Street,Wheat Ridge,80033,2025-05-01
402R-00702,SOUTH PUEBLO LLC,Colorado Cannabis Exchange,Retail Marijuana Store,3377 South Interstate 25,Pueblo,81004,2025-05-01
402R-00508,SOUTHERN COLORADO CANNABIS CLUB LLC,None,Retail Marijuana Store,29577 Highway 159,Fort Garland,81133,2025-05-01
