License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
404R-00040,KARING KIND LLC,Karing Kind,Retail Marijuana Products Mfg,5854 Rawhide Court,Boulder,80302,2025-05-01
404R-00196,KEBAR LLC,CSC,Retail Marijuana Products Mfg,5955 Washington Street,Denver,80216,2025-05-01
404R-00148,KIND GOODS LLC,Rebel Edibles,Retail Marijuana Products Mfg,"462 Laredo Street, Unit F",Aurora,80011,2025-05-01
404R-00247,KIND LOVE LLC,None,Retail Marijuana Products Mfg,4890 North Joliet Street,Denver,80239,2025-05-01
404R-00479,KP LLC,Binske,Retail Marijuana Products Mfg,136 North Yuma Street,Denver,80223,2025-05-01
404R-00140,KP LLC,Binske,Retail Marijuana Products Mfg,209 Nancy Crawford Boulevard,Oak Creek,80467,2025-05-01
404R-00494,KUNUBU COLORADO LLC,Kunubu,Retail Marijuana Products Mfg,499 Enterprise Street Unit A & B,Hayden,81639,2025-05-01
404R-00217,KUSH MASTERS LLC,Kush Masters,Retail Marijuana Products Mfg,7210 Valtec Court,Boulder,80301,2025-05-01
404R-00033,KUSH MASTERS LLC,KM; Kush Masters,Retail Marijuana Products Mfg,6325 West 48th Avenue,Wheat Ridge,80033,2025-05-01
404R-00290,L'EAGLE SERVICES LLC,L'Eagle,Retail Marijuana Products Mfg,380 North Quivas Street,Denver,80223,2025-05-01
404R-00289,LARSEN GROUP II LLC,None,Retail Marijuana Products Mfg,3215 East 42nd Avenue,Denver,80216,2025-05-01
404R-00353,LASTRIP LLC,None,Retail Marijuana Products Mfg,60810 County Road AA,Moffat,81143,2025-05-01
404R-00347,LBW CONSULTING GROUP LLC,Seed & Smith,Retail Marijuana Products Mfg,5070 North Oakland Street,Denver,80239,2025-05-01
404R-00563,LIFE CANNABIS LLC,None,Retail Marijuana Products Mfg,231 Wyandot Street,Denver,80223,2025-05-01
404R-00177,LIFESTYLE FOODS INC,Ripple Colorado,Retail Marijuana Products Mfg,6795 East 49th Avenue,Commerce City,80022,2025-05-01
404R-00505,LIGHTNING BOLT LLC ,Lightning Bolt Labs,Retail Marijuana Products Mfg,825 South Reigel Court,Moffat,81143,2025-05-01
404R-00567,LIQUID CONSULTING LLC,Schedule One,Retail Marijuana Products Mfg,472 Laredo Street Suite J,Aurora,80011,2025-05-01
404R-00015,LIVWELL XIII LLC,LivWell,Retail Marijuana Products Mfg,3770 North Joliet Street ,Denver,80239,2025-05-01
404R-00168,LOUD LABS LLC,Pyramid,Retail Marijuana Products Mfg,4805 Van Gordon Street,Wheat Ridge,80033,2025-05-01
404R-00004,LOVES OVEN LLC,None,Retail Marijuana Products Mfg,225 North Mariposa Street,Denver,80223,2025-05-01
404R-00019,LUCKY SWEETS LLC,Lucky Edibles,Retail Marijuana Products Mfg,"3980 North Franklin Street, Unit 102",Denver,80205,2025-05-01
404R-00357,LUMINESCENCE LABS INC,Denver Dab Company,Retail Marijuana Products Mfg,35715 US Highway 40 Unit D305 & D306,Evergreen,80439,2025-05-01
404R-00304,MAGNOLIA ROAD INC,Magnolia Road Cannabis Company,Retail Marijuana Products Mfg,206 Elm Drive,Log Lane Village,80705,2025-05-01
404R-00462,MAMMOTH MANUFACTURING LLC,Goldwater Extracts,Retail Marijuana Products Mfg,1150 West Custer Place,Denver,80223,2025-05-01
404R-00379,MAMMOTH MANUFACTURING LLC,Goldwater Extracts,Retail Marijuana Products Mfg,50562 County Road U,Saguache,81149,2025-05-01
404R-00054,MARYS MEDICINALS LLC,None,Retail Marijuana Products Mfg,4990 North Oakland Street Unit 100,Denver,80239,2025-05-01
404R-00504,MBF LABS LLC ,My brothers flower,Retail Marijuana Products Mfg,42 North Fabrication Drive Suite 101,Pueblo West,81007,2025-05-01
404R-00012,MEDICALLY CORRECT LLC,Medically Correct ,Retail Marijuana Products Mfg,1308 South Jason Street,Denver,80223,2025-05-01
404R-00384,MEDPHARM HOLDINGS LLC,Bud & Mary's Cannabis,Retail Marijuana Products Mfg,3855 North Quentin Street,Denver,80239,2025-05-01
404R-00467,MILE HIGH DABS LLC,None,Retail Marijuana Products Mfg,9670 Dallas Street Unit 2,Henderson,80640,2025-05-01
404R-00235,MILE HIGH XTRACTIONS LLC,Mile High Xtractions,Retail Marijuana Products Mfg,"9690 Dallas Street, Unit C",Henderson,80640,2025-05-01
404R-00534,MIRACLE FARMS LLC,None,Retail Marijuana Products Mfg,923 Silver Lane,Moffat,81143,2025-05-01
404R-00475,MONTEM PHARMLABS LIMITED,Northern Standard,Retail Marijuana Products Mfg,272 North Main Street,Alma,80420,2025-05-01
404R-00244,MONTEM PHARMLABS LIMITED,Northern Standard,Retail Marijuana Products Mfg,513 North Main Street,Alma,80420,2025-05-01
