License Number,Facility Name,DBA,Facility Type,Street,City,ZIP Code,Date Updated
403R-01288,OPTIMUM GROW LLC,Optimum Grow,Retail Marijuana Cultivation Facility,19606 Tamarack Lane,Ordway,81063,2025-05-01
403R-00294,OPTIONS CANNABIS CO LTD,Options,Retail Marijuana Cultivation Facility,"1700 South 120th Street, Units B1, B2, B3A, B3B, B4",Lafayette,80026,2025-05-01
403R-01244,ORDWAY EXPRESS LLC,The Station,Retail Marijuana Cultivation Facility,20390 Tamarack Lane,Ordway,81063,2025-05-01
403R-00775,ORGANIC AGRICULTURAL CONSULTANTS INC,Goddess Gardens,Retail Marijuana Cultivation Facility,2897 59th Lane,Boone,81025,2025-05-01
403R-00291,ORGANIC ALTERNATIVES INC,Organic Alternatives,Retail Marijuana Cultivation Facility,337 Hickory Street,Fort Collins,80524,2025-05-01
403R-01306,ORTIZ CANNABIS LLC,None,Retail Marijuana Cultivation Facility,623 Dunn Deal Drive,Moffat,81143,2025-05-01
403R-00984,OTF INVESTMENTS LLC,Loyalty Farms,Retail Marijuana Cultivation Facility,"7173 North Foothills Highway, Building F200",Boulder,80302,2025-05-01
403R-01368,PAKALOLO SPIRITS LLC,None,Retail Marijuana Cultivation Facility,603 Dunn Deal Drive,Moffat,81143,2025-05-01
403R-01294,PALMS2 LLC,None,Retail Marijuana Cultivation Facility,8097 Maverick Lane,Ordway,81063,2025-05-01
403R-01181,PD LLC,Mountain Orchid,Retail Marijuana Cultivation Facility,5374B Montezuma Road,Montezuma,80435,2025-05-01
403R-01251,PEAK MOUNTAIN SERVICES INC,None,Retail Marijuana Cultivation Facility,906 MR 45 Lane,Moffat,81143,2025-05-01
403R-01166,PEORIA PARK MANAGEMENT LLC,Flatirons Cannabis Company,Retail Marijuana Cultivation Facility,4765 North Oakland Street,Denver,80239,2025-05-01
403R-01098,PERSONALIZED ORGANIC TREATMENTS LLC,None,Retail Marijuana Cultivation Facility,11122 East 47th Avenue,Denver,80239,2025-05-01
403R-00301,PG GROW II LLC,12 Peaks Farms,Retail Marijuana Cultivation Facility,7800 County Road 152,Salida,81201,2025-05-01
403R-00699,PHOENIX FARMS OF BOULDER LLC,Phoenix Farms,Retail Marijuana Cultivation Facility,10452 Isabelle Road,Lafayette,80026,2025-05-01
403R-01339,PHOENIX FARMSTEAD LLC,RIPT,Retail Marijuana Cultivation Facility,223 Norml Lane,Moffat,81143,2025-05-01
403R-00875,PI 51st AVENUE LLC,Natty Rems,Retail Marijuana Cultivation Facility,11100 East 51st Avenue,Denver,80239,2025-05-01
403R-00676,PJ INVESTMENT GROUP LLC,Wise Cannabis Co,Retail Marijuana Cultivation Facility,21950 Highway 285,Fairplay,80440,2025-05-01
403R-00584,POPS FARM INC,Pop's Farm Inc,Retail Marijuana Cultivation Facility,3943 County Road 650,Rye,81069,2025-05-01
403R-01187,POTATO RIOS LLC,None,Retail Marijuana Cultivation Facility,914 Silver Lane,Moffat,81143,2025-05-01
403R-01360,POTCO LLC,PotCo,Retail Marijuana Cultivation Facility,11101 East 51st Avenue,Denver,80239,2025-05-01
403R-00712,POTCO SOUTH LLC,None,Retail Marijuana Cultivation Facility,1640 Siloam Road,Pueblo,81005,2025-05-01
403R-01435,PRAIRIE FIRE GARDENS LLC,None,Retail Marijuana Cultivation Facility,829 South Reigel Court,Moffat,81143,2025-05-01
403R-00919,PRIME FARMS LLC,None,Retail Marijuana Cultivation Facility,6475 Galbreth Road,Pueblo,81005,2025-05-01
403R-01405,PUFF TUFF CANNABIS LLC ,None,Retail Marijuana Cultivation Facility,694 Mayor Patricia Reigel  Boulevard,Moffat,81143,2025-05-01
403R-00247,R & B CONSULTING INC,Iion Cannabis,Retail Marijuana Cultivation Facility,"4727 North Broadway, Unit D-West",Boulder,80304,2025-05-01
403R-01498,R & S SOLUTIONS LLC,None,Retail Marijuana Cultivation Facility,7440 Rex Road,Pueblo,81005,2025-05-01
403R-01384,RAIN FLOWER FARMS LLC ,None,Retail Marijuana Cultivation Facility,402 B Main Street,Antonito,81120,2025-05-01
403R-01183,RANGE STREET LLC,Qualis Cultivation,Retail Marijuana Cultivation Facility,"1845 Range Street, Bays B, G-H",Boulder,80301,2025-05-01
403R-01180,RBF CORP,Single Source Colorado,Retail Marijuana Cultivation Facility,621 South Jason Street,Denver,80223,2025-05-01
403R-00458,RD INDUSTRIES LLC,None,Retail Marijuana Cultivation Facility,10555 East 45th Avenue,Denver,80239,2025-05-01
403R-01177,REDGARDEN LLC,None,Retail Marijuana Cultivation Facility,"6859 North Foothills Parkway, Unit D200",Boulder,80302,2025-05-01
403R-00228,REDWOOD INVESTMENT PARTNERS LLC,Bonsai Cultivation,Retail Marijuana Cultivation Facility,1955 South Quince Street,Denver,80231,2025-05-01
403R-01202,REVEL CULTIVARS LLC ,Astronomic,Retail Marijuana Cultivation Facility,713 Mayor Patricia Reigel Boulevard,Moffat,81143,2025-05-01
403R-01081,RG CUSTOM GROW,RG Custom Grow,Retail Marijuana Cultivation Facility,"36 North Fabrication Drive, Unit B",Pueblo West,81007,2025-05-01
403R-00933,RIVER ROOTS LLC,None,Retail Marijuana Cultivation Facility,52719 East US Highway 50 ,Boone,81025,2025-05-01
403R-01207,RJ FARMERS LLC,None,Retail Marijuana Cultivation Facility,913 MR 45 Lane,Moffat,81143,2025-05-01
403R-00408,RJJ SHERIDAN LLC,Native Roots Littleton,Retail Marijuana Cultivation Facility,4990 North Dahlia Street,Denver,80216,2025-05-01
