Business Name,License Type,City,County,Sales Last Month,Period
Ash Way Properties,Retailer,Lynnwood,"Snohomish county, WA","$53,019",Jun 2024
Green Lady Lacey,Retailer,Lacey,"Thurston county, WA","$52,870",Jun 2024
Mj Productions,Tier 1 Producer & Processor,Spokane Valley,"Spokane county, WA","$52,782",Jun 2024
Four Devils Co,Tier None Producer & Processor,Raymond,"Pacific county, WA","$52,716",Jun 2024
Doctor And Crook,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$52,683",Jun 2024
Green Depot,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$52,530",Jun 2024
Sedro Broadway,Tier None Producer & Processor,Lyman,"Skagit county, WA","$52,390",Jun 2024
Noble Farm,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$52,095",Jun 2024
Diluvian Farms,Tier None Producer & Processor,Spokane,"Spokane county, WA","$51,534",Jun 2024
Marijuana Club 99,Retailer,Everett,"Snohomish county, WA","$51,311",Jun 2024
Raven,Tier None Producer & Processor,Olympia,"Thurston county, WA","$50,954",Jun 2024
Pacific Coast Farms,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$50,371",Jun 2024
Iii King Company,Retailer,Seattle,"King county, WA","$50,064",Jun 2024
Whidbey Retail Group,Retailer,Freeland,"Island county, WA","$49,847",Jun 2024
Gypsy Green,Retailer,Olympia,"Thurston county, WA","$49,778",Jun 2024
Minton Development Consulting,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$49,778",Jun 2024
Pe Productions,Tier None Producer & Processor,Wilbur,"Lincoln county, WA","$49,571",Jun 2024
Dope Cooks,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$49,247",Jun 2024
Ganja Vita,Retailer,Belfair,"Mason county, WA","$48,689",Jun 2024
Sunbloom,Processor,Seattle,"King county, WA","$47,345",Jun 2024
Vashon Times,Retailer,Vashon Island,"King county, WA","$46,931",Jun 2024
Root Down,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$46,780",Jun 2024
West Coast Greens,Tier None Producer & Processor,Olympia,"Thurston county, WA","$45,813",Jun 2024
Hypeherbally,Retailer,Lynnwood,"Snohomish county, WA","$45,326",Jun 2024
Greenview Cannabis,Retailer,Longview,"Cowlitz county, WA","$45,136",Jun 2024
Sea Change Cannabis,Retailer,Port Hadlock,"Jefferson county, WA","$44,828",Jun 2024
Wannacut Farms,Tier 3 Producer & Processor,Oroville,"Okanogan county, WA","$44,549",Jun 2024
Bored N Buzzed,Retailer,Kirkland,"King county, WA","$44,349",Jun 2024
High Society Anacortes,Retailer,Anacortes,"Skagit county, WA","$44,162",Jun 2024
Golden Ace Harvest,Tier 2 Producer & Processor,Anacortes,"Skagit county, WA","$44,060",Jun 2024
Pure Magic,Tier 2 Producer & Processor,Rochester,"Thurston county, WA","$43,533",Jun 2024
Better Buds,Retailer,Port Angeles,"Clallam county, WA","$43,476",Jun 2024
Playa Grande,Tier 1 Producer & Processor,Spokane Valley,"Spokane county, WA","$43,197",Jun 2024
Alchemist Farms,Tier None Producer & Processor,Kelso,"Cowlitz county, WA","$43,156",Jun 2024
Feel Budder,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$43,130",Jun 2024
Emerald Mountain,Tier 1 Producer & Processor,Olympia,"Thurston county, WA","$42,937",Jun 2024
Cubix,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$42,446",Jun 2024
Hangar 420,Retailer,Lynnwood,"Snohomish county, WA","$42,442",Jun 2024
Clear Green,Tier 2 Producer,Arlington,"Snohomish county, WA","$41,095",Jun 2024
Washington State Producer,Tier 3 Producer & Processor,Chehalis,"Lewis county, WA","$40,957",Jun 2024
Fractal Infused,Processor,Kirkland,"King county, WA","$40,836",Jun 2024
A Cannabis Solution,Tier None Producer & Processor,Almira,"Lincoln county, WA","$40,428",Jun 2024
Amazing Gardens,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$40,416",Jun 2024
High Society Burlington,Retailer,Burlington,"Skagit county, WA","$40,357",Jun 2024
Docandyetis,Tier None Producer & Processor,Tumwater,"Thurston county, WA","$40,155",Jun 2024
Greenrush,Tier 1 Producer & Processor,Snohomish,"Snohomish county, WA","$39,936",Jun 2024
Unaflora,Tier 2 Producer & Processor,Seattle,"King county, WA","$39,778",Jun 2024
Green Adventures,Tier None Producer & Processor,Kelso,"Cowlitz county, WA","$39,394",Jun 2024
Hazy Daze,Tier 2 Producer & Processor,Belfair,"Mason county, WA","$39,377",Jun 2024
Olympus Gardens,Tier None Producer & Processor,Omak,"Okanogan county, WA","$38,977",Jun 2024
Premier Cannabis,Tier 1 Producer & Processor,Spokane,"Spokane county, WA","$38,475",Jun 2024
Jet Cannabis,Retailer,Everett,"Snohomish county, WA","$38,391",Jun 2024
Umbrella Industries Usa,Tier 3 Producer & Processor,Sedro Woolley,"Skagit county, WA","$38,354",Jun 2024
Hannah Farms,Tier None Producer & Processor,Spokane,"Spokane county, WA","$38,354",Jun 2024
Heavenly Buds,Tier None Producer & Processor,Longview,"Cowlitz county, WA","$37,955",Jun 2024
Tenino Cannabis Boutique,Retailer,Tenino,"Thurston county, WA","$37,738",Jun 2024
Uncle Willies Cannabis,Retailer,Kelso,"Cowlitz county, WA","$37,693",Jun 2024
Mns Pnp,Tier None Producer & Processor,Tonasket,"Okanogan county, WA","$37,319",Jun 2024
42 Squared,Tier None Producer & Processor,Gold Bar,"Snohomish county, WA","$36,989",Jun 2024
Clandestine Consulting,Tier 2 Producer & Processor,Acme,"Whatcom county, WA","$36,778",Jun 2024
C Block Group,Tier 3 Producer & Processor,Liberty Lake,"Spokane county, WA","$36,330",Jun 2024
Ajbloom,Tier 2 Producer & Processor,Seattle,"King county, WA","$36,221",Jun 2024
No Bad Days Ranch,Tier None Producer & Processor,Longbranch,"Pierce county, WA","$35,806",Jun 2024
Molecule,Retailer,Davenport,"Lincoln county, WA","$35,247",Jun 2024
Evolve Washington,Retailer,Bellingham,"Whatcom county, WA","$35,179",Jun 2024
Kb Cannabis,Tier 2 Producer & Processor,Seattle,"King county, WA","$34,961",Jun 2024
Discovery Bay Cannabis,Retailer,Port Townsend,"Jefferson county, WA","$34,949",Jun 2024
House of Cannabis Whidbey,Retailer,Greenbank,"Island county, WA","$34,262",Jun 2024
Ayra,Tier 2 Producer & Processor,Seattle,"King county, WA","$33,914",Jun 2024
Hella Loud,Tier None Producer & Processor,Olympia,"Thurston county, WA","$33,872",Jun 2024
Translucency,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$33,859",Jun 2024
Greensmart,Tier 1 Producer & Processor,Snohomish,"Snohomish county, WA","$33,185",Jun 2024
Lucky Cannabis,Retailer,Seattle,"King county, WA","$32,891",Jun 2024
Dg Partners,Tier None Producer & Processor,Tumwater,"Thurston county, WA","$32,467",Jun 2024
Acme Medicinals S,Tier 3 Producer & Processor,Ephrata,"Grant county, WA","$32,386",Jun 2024
Greenshift Productions,Tier None Producer & Processor,Chehalis,"Lewis county, WA","$32,242",Jun 2024
Mhc,Retailer,Republic,"Ferry county, WA","$32,126",Jun 2024
Greensmart,Tier None Producer & Processor,Anacortes,"Skagit county, WA","$32,120",Jun 2024
Yingping,Tier None Producer & Processor,Port Townsend,"Jefferson county, WA","$31,934",Jun 2024
Jaxpot,Tier None Producer & Processor,Port Angeles,"Clallam county, WA","$31,687",Jun 2024
Ykk Grow,Tier None Producer & Processor,Spokane,"Spokane county, WA","$31,485",Jun 2024
1492 Productions,Tier 2 Producer,Raymond,"Pacific county, WA","$31,114",Jun 2024
Lilac City Gardens,Tier 2 Producer & Processor,Airway Heights,"Spokane county, WA","$31,038",Jun 2024
Stryps,Tier None Producer & Processor,Seattle,"King county, WA","$30,752",Jun 2024
Naked Emperor,Tier None Producer & Processor,Valley,"Stevens county, WA","$30,658",Jun 2024
Nywy,Tier None Producer & Processor,Snohomish,"Snohomish county, WA","$30,571",Jun 2024
Mr Green Thumb,Tier 3 Producer & Processor,Arlington,"Snohomish county, WA","$29,981",Jun 2024
The Sage Shop,Retailer,Oroville,"Okanogan county, WA","$29,826",Jun 2024
Virginia Enterprises,Tier 2 Producer & Processor,Othello,"Adams county, WA","$29,681",Jun 2024
Goat Girl Cannabis,Tier None Producer & Processor,Centerville,"Klickitat county, WA","$29,478",Jun 2024
Sea Flower,Tier None Producer & Processor,Union Gap,"Yakima county, WA","$29,412",Jun 2024
Heyfor Farm,Tier 3 Producer & Processor,Brewster,"Okanogan county, WA","$29,264",Jun 2024
Bloom Diamond,Tier None Producer & Processor,Longview,"Cowlitz county, WA","$29,257",Jun 2024
Green Herb Cannabis,Tier None Producer & Processor,Moses Lake,"Grant county, WA","$29,251",Jun 2024
Sherlocked,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$29,143",Jun 2024
Emerald City Growers,Tier 2 Producer & Processor,Longview,"Cowlitz county, WA","$29,036",Jun 2024
NW Croppers,Tier 3 Producer & Processor,Quincy,"Grant county, WA","$29,033",Jun 2024
Sweet Releaf,Retailer,Mount Vernon,"Skagit county, WA","$28,979",Jun 2024
Methow Horticulture,Tier 2 Producer & Processor,Methow,"Okanogan county, WA","$28,911",Jun 2024
Phc Enterprise,Retailer,Custer,"Whatcom county, WA","$28,796",Jun 2024
Adaptive Nano Infusions,Tier None Producer & Processor,Seattle,"King county, WA","$28,782",Jun 2024
Altum Extracts,Tier None Producer & Processor,Blaine,"Whatcom county, WA","$28,663",Jun 2024
Cannarex,Retailer,Mount Vernon,"Skagit county, WA","$28,452",Jun 2024
Ounce King Cannabis,Retailer,Seattle,"King county, WA","$28,352",Jun 2024
Fire Bros,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$28,209",Jun 2024
Laughing Buddha Style,Tier None Producer & Processor,Duvall,"King county, WA","$28,155",Jun 2024
Kitsap Cannabis Bremerton,Retailer,Bremerton,"Kitsap county, WA","$28,018",Jun 2024
Pure Tran,Tier 3 Producer & Processor,Kennewick,"Benton county, WA","$27,804",Jun 2024
Millennium Green,Tier None Producer & Processor,Seattle,"King county, WA","$27,156",Jun 2024
Rock Island Farm,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$27,071",Jun 2024
Pacific Northwest Producer,Tier None Producer & Processor,Marlin,"Grant county, WA","$26,903",Jun 2024
Aaa Grower,Tier 2 Producer & Processor,Longview,"Cowlitz county, WA","$26,899",Jun 2024
Blue Sky Growers,Tier None Producer & Processor,East Wenatchee,"Douglas county, WA","$26,646",Jun 2024
Ovk,Processor,Ferndale,"Whatcom county, WA","$26,450",Jun 2024
Amerikan Weed,Tier None Producer & Processor,Auburn,"King county, WA","$26,314",Jun 2024
Freedom Market Cathlamet Corp,Retailer,Cathlamet,"Wahkiakum county, WA","$25,959",Jun 2024
Perfect Plant,Tier None Producer & Processor,Shelton,"Mason county, WA","$25,878",Jun 2024
Sideways Green,Tier 2 Producer & Processor,Colville,"Stevens county, WA","$25,800",Jun 2024
Prc Bothell,Retailer,Bothell,"Snohomish county, WA","$25,763",Jun 2024
South Bellingham Buds,Retailer,Bellingham,"Whatcom county, WA","$25,572",Jun 2024
4front,Tier None Producer & Processor,Tahuya,"Mason county, WA","$25,548",Jun 2024
Cookies Tacoma,Retailer,Tacoma,"Pierce county, WA","$25,302",Jun 2024
Prime Choice Canna,Tier None Producer & Processor,Olalla,"Kitsap county, WA","$24,649",Jun 2024
Bmb,Tier 2 Producer,Rochester,"Thurston county, WA","$24,521",Jun 2024
Quincy Green,Tier None Producer & Processor,Quincy,"Grant county, WA","$23,890",Jun 2024
Skunk Processor,Tier None Producer & Processor,Blaine,"Whatcom county, WA","$23,461",Jun 2024
Zoobees Doobees,Tier None Producer & Processor,Liberty Lake,"Spokane county, WA","$23,460",Jun 2024
Rio Nine Eleven,Tier 3 Producer,Warden,"Grant county, WA","$23,387",Jun 2024
Good Karma Consulting,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$23,311",Jun 2024
First Grow,Tier None Producer & Processor,Oak Harbor,"Island county, WA","$23,277",Jun 2024
2 Budz,Tier None Producer & Processor,Shelton,"Mason county, WA","$23,274",Jun 2024
The Werc Shop WA,Processor,Seattle,"King county, WA","$23,102",Jun 2024
The Hidden Bush,Retailer,Port Angeles,"Clallam county, WA","$22,841",Jun 2024
Dragon High,Tier None Producer & Processor,Everett,"Snohomish county, WA","$22,788",Jun 2024
Magu Corp,Tier 3 Producer & Processor,Moses Lake,"Grant county, WA","$22,757",Jun 2024
Dlh Ranch,Tier 1 Producer & Processor,Springdale,"Stevens county, WA","$22,584",Jun 2024
Pinoy,Processor,Bremerton,"Kitsap county, WA","$22,350",Jun 2024
Luna Rever Luna Rever,Tier None Producer & Processor,Bremerton,"Kitsap county, WA","$22,342",Jun 2024
Island Gro,Tier 1 Producer & Processor,Oak Harbor,"Island county, WA","$22,240",Jun 2024
Beyond Agritech,Tier None Producer & Processor,Rochester,"Thurston county, WA","$22,050",Jun 2024
Methow Growers,Tier 3 Producer & Processor,Twisp,"Okanogan county, WA","$21,979",Jun 2024
Lucky Jade Productions,Tier None Producer & Processor,Ferndale,"Whatcom county, WA","$21,928",Jun 2024
Serenity Gardens,Tier 2 Producer & Processor,Yelm,"Thurston county, WA","$21,411",Jun 2024
American Cannabis Company,Processor,Benton City,"Benton county, WA","$21,280",Jun 2024
Pinnacle NW,Tier None Producer & Processor,Shelton,"Mason county, WA","$21,279",Jun 2024
B Street Bud,Retailer,Grand Coulee,"Grant county, WA","$20,919",Jun 2024
South Colby Investors,Tier 3 Producer & Processor,Tahuya,"Mason county, WA","$20,881",Jun 2024
Galaxy 21,Retailer,Seattle,"King county, WA","$20,862",Jun 2024
Jjs Productions,Tier 2 Producer & Processor,Anacortes,"Skagit county, WA","$20,855",Jun 2024
Cascadia Cannabis Company,Tier 3 Producer & Processor,Gold Bar,"Snohomish county, WA","$20,800",Jun 2024
Verrett House,Tier None Producer & Processor,Seattle,"King county, WA","$20,480",Jun 2024
Marprod,Tier 3 Producer & Processor,Othello,"Adams county, WA","$20,428",Jun 2024
Rmnp,Tier None Producer & Processor,Benton City,"Benton county, WA","$20,375",Jun 2024
Capital Green,Tier 2 Producer & Processor,Tonasket,"Okanogan county, WA","$20,205",Jun 2024
Okanogan Gold,Processor,Brewster,"Okanogan county, WA","$20,070",Jun 2024
The High Road,Tier 2 Producer & Processor,Deer Park,"Spokane county, WA","$19,996",Jun 2024
Greensmith,Tier None Producer & Processor,Lind,"Adams county, WA","$19,995",Jun 2024
Cathlamet Cannabis Company,Retailer,Cathlamet,"Wahkiakum county, WA","$19,933",Jun 2024
Orange State,Tier 3 Producer & Processor,Elk,"Spokane county, WA","$19,915",Jun 2024
Green Plus,Tier 2 Producer & Processor,Hoquiam,"Grays Harbor county, WA","$19,895",Jun 2024
Phat Cat,Tier None Producer & Processor,Blaine,"Whatcom county, WA","$19,722",Jun 2024
Mt Baker Homegrown,Tier 2 Producer & Processor,Bellingham,"Whatcom county, WA","$19,375",Jun 2024
Island Green Growers,Tier 2 Producer,Seattle,"King county, WA","$19,154",Jun 2024
Evello Labs,Tier None Producer & Processor,Carlsborg,"Clallam county, WA","$19,116",Jun 2024
Black Diamond Cannabis,Tier 3 Producer & Processor,Touchet,"Walla Walla county, WA","$19,103",Jun 2024
Chehalis Garden,Tier None Producer & Processor,Chehalis,"Lewis county, WA","$18,905",Jun 2024
D And L Enterprises,Tier None Producer & Processor,Cheney,"Spokane county, WA","$18,534",Jun 2024
Aaa Farm Mary Jane,Tier None Producer & Processor,Goldendale,"Klickitat county, WA","$18,285",Jun 2024
North Sound Solventless,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$18,190",Jun 2024
Dispo 42,Retailer,Mukilteo,"Snohomish county, WA","$18,122",Jun 2024
Big Ridge Farms,Tier None Producer & Processor,Coulee City,"Grant county, WA","$17,808",Jun 2024
Roslyn Herbs,Retailer,Roslyn,"Kittitas county, WA","$17,788",Jun 2024
Full Bloom,Tier 3 Producer & Processor,Elma,"Grays Harbor county, WA","$17,594",Jun 2024
Agape Research WA,Tier 3 Producer & Processor,Acme,"Whatcom county, WA","$17,401",Jun 2024
Filucy Bay Farms,Tier 2 Producer & Processor,Moses Lake,"Grant county, WA","$17,387",Jun 2024
Deep Well Farms,Tier None Producer & Processor,Shelton,"Mason county, WA","$17,322",Jun 2024
Chinook Growers,Tier 3 Producer & Processor,Omak,"Okanogan county, WA","$17,233",Jun 2024
Royal Greens,Tier None Producer & Processor,Omak,"Okanogan county, WA","$16,981",Jun 2024
Vance Creek,Tier None Producer & Processor,Seattle,"King county, WA","$16,670",Jun 2024
Bad Dog Farms,Tier None Producer & Processor,Spokane,"Spokane county, WA","$16,489",Jun 2024
Grow Bros,Tier 3 Producer & Processor,Ellensburg,"Kittitas county, WA","$16,445",Jun 2024
Ttl Holdings,Tier 1 Producer & Processor,Seattle,"King county, WA","$16,406",Jun 2024
Green Rose,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$16,373",Jun 2024
Techbud,Processor,Brewster,"Okanogan county, WA","$16,317",Jun 2024
Fire Mountain,Tier 1 Producer & Processor,Ariel,"Cowlitz county, WA","$16,304",Jun 2024
3w Horticulture,Tier None Producer & Processor,Gold Bar,"Snohomish county, WA","$16,015",Jun 2024
Sacre Farms,Tier 3 Producer,Riverside,"Okanogan county, WA","$15,951",Jun 2024
The World Famous Cannabis Store,Retailer,Chimacum,"Jefferson county, WA","$15,902",Jun 2024
Spanglers Special Kmh,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$15,641",Jun 2024
Fresh Greens,Retailer,Winthrop,"Okanogan county, WA","$15,416",Jun 2024
Mutual Benefit Agriculture,Tier None Producer & Processor,Monroe,"Snohomish county, WA","$15,266",Jun 2024
Flying Eagle,Tier None Producer & Processor,Hoquiam,"Grays Harbor county, WA","$15,261",Jun 2024
Dna Gardens,Tier 2 Producer & Processor,Granite Falls,"Snohomish county, WA","$15,188",Jun 2024
Prince Farms,Tier 3 Producer & Processor,Sequim,"Clallam county, WA","$15,144",Jun 2024
Northwest Harvesting Co,Tier 2 Producer & Processor,Elma,"Grays Harbor county, WA","$14,876",Jun 2024
Fortune Star Holdings,Tier None Producer & Processor,Port Angeles,"Clallam county, WA","$14,865",Jun 2024
Epicurean Extracts,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$14,828",Jun 2024
Grow Fc From the Vault From the Dungeon,Tier None Producer & Processor,Spokane,"Spokane county, WA","$14,783",Jun 2024
One of a Kind Genetics,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$14,592",Jun 2024
Earthcraft Farms,Tier 3 Producer & Processor,Elma,"Grays Harbor county, WA","$14,300",Jun 2024
Sumas WA,Tier None Producer & Processor,Sumas,"Whatcom county, WA","$14,266",Jun 2024
Green Dreamer,Tier 1 Producer & Processor,Bellingham,"Whatcom county, WA","$14,158",Jun 2024
Ogo Industries,Tier 3 Producer & Processor,Tumwater,"Thurston county, WA","$14,134",Jun 2024
Mt Baker Growers,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$13,811",Jun 2024
Cannabis King,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$13,636",Jun 2024
Green Era,Tier None Producer & Processor,Gold Bar,"Snohomish county, WA","$13,620",Jun 2024
Fleur Delacour,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$13,620",Jun 2024
Golden Leaf,Tier None Producer & Processor,Benton City,"Benton county, WA","$13,592",Jun 2024
Bulldog Weed,Tier None Producer & Processor,Spokane,"Spokane county, WA","$13,378",Jun 2024
Oneforall Unlimited,Tier 2 Producer & Processor,Anacortes,"Skagit county, WA","$13,134",Jun 2024
Green2go Tokio,Retailer,Sprague,"Adams county, WA","$13,113",Jun 2024
The Happy Crowd,Tier 3 Producer & Processor,Cheney,"Spokane county, WA","$13,074",Jun 2024
Snowcrest,Tier 1 Producer & Processor,Vancouver,"Clark county, WA","$12,707",Jun 2024
Treehawk Farms,Tier 3 Producer & Processor,Chimacum,"Jefferson county, WA","$12,430",Jun 2024
Jmc Green Farm,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$12,413",Jun 2024
Frosted Cannabis,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$12,335",Jun 2024
Jacks Cure,Tier None Producer & Processor,Brewster,"Douglas county, WA","$12,267",Jun 2024
5gww,Tier None Producer & Processor,Spokane,"Spokane county, WA","$12,108",Jun 2024
Cookie Cutter Farms,Tier 1 Producer & Processor,Tacoma,"Pierce county, WA","$12,040",Jun 2024
Kibble Junction,Tier 1 Producer & Processor,Brewster,"Okanogan county, WA","$11,977",Jun 2024
Incredible Greens,Tier None Producer & Processor,Kelso,"Cowlitz county, WA","$11,975",Jun 2024
Terp Cannabis,Retailer,Nine Mile Falls,"Stevens county, WA","$11,930",Jun 2024
Eagle Trees Farm,Tier None Producer & Processor,Deming,"Whatcom county, WA","$11,858",Jun 2024
Platinum Gardens,Tier None Producer & Processor,Shelton,"Mason county, WA","$11,525",Jun 2024
Sapphire Cannabis,Retailer,Sprague,"Lincoln county, WA","$11,430",Jun 2024
Kaidro,Tier None Producer & Processor,Olympia,"Thurston county, WA","$11,337",Jun 2024
Pg Trading,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$11,281",Jun 2024
Alaskan Green Acres,Tier None Producer & Processor,Malone,"Grays Harbor county, WA","$11,074",Jun 2024
Northwest 7 Point,Tier 1 Producer & Processor,Spokane Valley,"Spokane county, WA","$10,725",Jun 2024
Dandelion Farms,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$10,674",Jun 2024
Sacred,Tier None Producer & Processor,Port Townsend,"Jefferson county, WA","$10,657",Jun 2024
Oracle Acres,Tier 2 Producer & Processor,Bellingham,"Whatcom county, WA","$10,402",Jun 2024
Frontier Investment Group,Tier None Producer & Processor,Spokane,"Spokane county, WA","$10,375",Jun 2024
Umhigh,Processor,Seattle,"King county, WA","$10,355",Jun 2024
Djr1 Investment,Tier None Producer & Processor,Shelton,"Mason county, WA","$10,235",Jun 2024
Cannabis Reserve,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$10,090",Jun 2024
Wl Growers,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$10,066",Jun 2024
South Bay Master Growers,Tier 2 Producer & Processor,Elma,"Grays Harbor county, WA","$10,051",Jun 2024
Banano Buds,Tier None Producer & Processor,Sedro Woolley,"Skagit county, WA","$9,898",Jun 2024
Sinsemilla,Tier 1 Producer & Processor,Everett,"Snohomish county, WA","$9,670",Jun 2024
Howling Dog Farms,Tier None Producer & Processor,Oroville,"Okanogan county, WA","$9,299",Jun 2024
Black Sushi Cannabis,Tier None Producer & Processor,Shelton,"Mason county, WA","$9,241",Jun 2024
Heritage Farms,Tier None Producer & Processor,Elk,"Spokane county, WA","$9,074",Jun 2024
Yield Farms,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$8,571",Jun 2024
Wiseman,Tier 3 Producer & Processor,Warden,"Grant county, WA","$8,505",Jun 2024
Its a Plants Life,Tier 2 Producer & Processor,Sultan,"Snohomish county, WA","$8,265",Jun 2024
Sasquatch Greenhouses,Tier None Producer & Processor,Ferndale,"Whatcom county, WA","$8,262",Jun 2024
Olympic Growers,Tier 3 Producer & Processor,Creston,"Lincoln county, WA","$8,060",Jun 2024
Port Gamble Sklallam Tribe Cannabis Compact,Tier None Producer & Processor,Kingston,"Kitsap county, WA","$7,963",Jun 2024
Bubbies Treats,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$7,824",Jun 2024
Integrity Extractions,Tier 1 Producer & Processor,Granite Falls,"Snohomish county, WA","$7,803",Jun 2024
Kush Mountain Gardens,Tier 1 Producer & Processor,Seattle,"King county, WA","$7,659",Jun 2024
Boggy Boon,Tier None Producer & Processor,Malaga,"Chelan county, WA","$7,575",Jun 2024
Vert Corporation,Tier 3 Producer & Processor,Omak,"Okanogan county, WA","$7,486",Jun 2024
Sasquatch Cannabis Company,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$7,280",Jun 2024
Red Tail Cannabis,Tier None Producer & Processor,Rochester,"Thurston county, WA","$7,246",Jun 2024
2020 Solutions Ephrata,Retailer,Ephrata,"Grant county, WA","$7,101",Jun 2024
Washington State Sweet Leaf Gardens,Tier None Producer & Processor,Tumwater,"Thurston county, WA","$6,889",Jun 2024
Hairmo United,Tier 2 Producer & Processor,Mattawa,"Grant county, WA","$6,810",Jun 2024
Great Harvest,Tier None Producer & Processor,Shelton,"Mason county, WA","$6,800",Jun 2024
Natural Leaf,Tier 3 Producer & Processor,Rosalia,"Whitman county, WA","$6,776",Jun 2024
Cascadia Supply Co,Tier None Producer & Processor,Moxee,"Yakima county, WA","$6,618",Jun 2024
Pacific Coast Cannabis,Tier None Producer & Processor,Ilwaco,"Pacific county, WA","$6,588",Jun 2024
Ag Grow,Tier None Producer & Processor,Pullman,"Whitman county, WA","$6,554",Jun 2024
Ykk Grow,Tier None Producer & Processor,Kingston,"Kitsap county, WA","$6,503",Jun 2024
Green Lion Gardens,Tier 2 Producer & Processor,Bellingham,"Whatcom county, WA","$6,440",Jun 2024
Wright Brothers Cannabis Company,Tier None Producer & Processor,Tenino,"Thurston county, WA","$6,375",Jun 2024
Avant Gardens,Tier 2 Producer & Processor,Monroe,"Snohomish county, WA","$6,071",Jun 2024
THC Growers,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$5,992",Jun 2024
Cannabis King Gardens,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$5,888",Jun 2024
Grow Op Farms,Tier 3 Producer & Processor,Spokane Valley,"Spokane county, WA","$5,703",Jun 2024
Tiger Mountain Cannabis,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$5,658",Jun 2024
Llv Green,Tier 3 Producer & Processor,Benton City,"Benton county, WA","$5,564",Jun 2024
Hometown Herbs,Tier None Producer & Processor,Tumwater,"Thurston county, WA","$5,414",Jun 2024
The Grind House,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$5,208",Jun 2024
Pacific Northwest Growers,Tier 2 Producer & Processor,Lake Stevens,"Snohomish county, WA","$5,154",Jun 2024
Gold Services,Tier None Producer & Processor,Arlington,"Snohomish county, WA","$5,100",Jun 2024
Greencrest Gardens,Tier None Producer & Processor,Ephrata,"Grant county, WA","$5,015",Jun 2024
First Rain Holdings,Processor,Port Townsend,"Jefferson county, WA","$4,900",Jun 2024
Bojon Greens,Tier None Producer & Processor,Anacortes,"Skagit county, WA","$4,838",Jun 2024
Oberfelder Holdings,Tier None Producer & Processor,Chelan,"Chelan county, WA","$4,700",Jun 2024
Og Farms,Tier None Producer & Processor,Moses Lake,"Grant county, WA","$4,613",Jun 2024
Platinum Leaf Society,Tier 2 Producer & Processor,Tacoma,"Pierce county, WA","$4,540",Jun 2024
Pioneer Production And Processing,Tier None Producer & Processor,Everett,"Snohomish county, WA","$4,344",Jun 2024
Desert Valley Growers,Tier 2 Producer & Processor,Yakima,"Yakima county, WA","$4,270",Jun 2024
Bidzo,Tier None Producer & Processor,Longview,"Cowlitz county, WA","$4,225",Jun 2024
Northwest Grown Products,Tier 2 Producer & Processor,Mount Vernon,"Skagit county, WA","$4,175",Jun 2024
Yeti Scat Trails,Tier None Producer & Processor,Everett,"Snohomish county, WA","$4,172",Jun 2024
Bo Gardens,Tier None Producer & Processor,Port Townsend,"Jefferson county, WA","$4,148",Jun 2024
THC Supreme,Tier None Producer & Processor,Kingston,"Kitsap county, WA","$4,085",Jun 2024
Alis Group,Processor,Seattle,"King county, WA","$4,074",Jun 2024
Shelton Cannabis Co,Retailer,Shelton,"Mason county, WA","$4,053",Jun 2024
Happy Tree,Tier 2 Producer & Processor,Prescott,"Walla Walla county, WA","$4,030",Jun 2024
Hesperides,Tier None Producer & Processor,Port Orchard,"Kitsap county, WA","$3,642",Jun 2024
