Business Name,License Type,City,County,Sales Last Month,Period
Peace Love Productions,Tier None Producer & Processor,Gold Bar,"Snohomish county, WA","$23,855",Dec 2022
Gorge Gold,Tier None Producer & Processor,Quincy,"Grant county, WA","$23,320",Dec 2022
Phc Enterprise,Retailer,Custer,"Whatcom county, WA","$23,319",Dec 2022
Chinook Growers,Tier 3 Producer & Processor,Omak,"Okanogan county, WA","$23,318",Dec 2022
Island Gro,Tier 1 Producer & Processor,Oak Harbor,"Island county, WA","$23,134",Dec 2022
Gold Services,Processor,Arlington,"Snohomish county, WA","$22,735",Dec 2022
Sumas WA,Tier None Producer & Processor,Sumas,"Whatcom county, WA","$22,728",Dec 2022
Incredible Greens,Tier None Producer & Processor,Kelso,"Cowlitz county, WA","$22,687",Dec 2022
Okanogan Natural Farms,Tier 3 Producer & Processor,Othello,"Adams county, WA","$22,500",Dec 2022
Bad Dog Farms,Tier 1 Producer & Processor,Spokane,"Spokane county, WA","$22,457",Dec 2022
Pink Grassland,Tier None Producer & Processor,Oak Harbor,"Island county, WA","$22,348",Dec 2022
Bliss Road,Tier 2 Producer & Processor,Everson,"Whatcom county, WA","$22,020",Dec 2022
Ps Cannabis Investment,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$21,934",Dec 2022
House of Cannabis Whidbey,Retailer,Greenbank,"Island county, WA","$21,908",Dec 2022
Amerikan Weed,Tier None Producer & Processor,Auburn,"King county, WA","$21,767",Dec 2022
Dragon High,Tier None Producer & Processor,Everett,"Snohomish county, WA","$21,413",Dec 2022
Pinnacle NW,Tier None Producer & Processor,Shelton,"Mason county, WA","$21,216",Dec 2022
Qanapsu,Retailer,Ridgefield,"Clark county, WA","$20,897",Dec 2022
Silica Phoenix,Tier None Producer & Processor,Tenino,"Thurston county, WA","$20,669",Dec 2022
Str8fire Farms,Tier None Producer & Processor,Riverside,"Okanogan county, WA","$20,616",Dec 2022
Wright Brothers Cannabis Company,Tier None Producer & Processor,Tenino,"Thurston county, WA","$20,412",Dec 2022
Biochron,Tier 2 Producer & Processor,Cheney,"Spokane county, WA","$20,356",Dec 2022
C Block Group,Tier 3 Producer & Processor,Liberty Lake,"Spokane county, WA","$19,723",Dec 2022
Blaine Cannabis,Retailer,Blaine,"Whatcom county, WA","$19,557",Dec 2022
Two Heads Co,Tier None Producer & Processor,Raymond,"Pacific county, WA","$19,502",Dec 2022
Trinidad Productions,Retailer,Quincy,"Grant county, WA","$19,094",Dec 2022
Mj Productions,Tier 1 Producer & Processor,Spokane Valley,"Spokane county, WA","$18,880",Dec 2022
Luna Rever Luna Rever,Tier None Producer & Processor,Bremerton,"Kitsap county, WA","$18,700",Dec 2022
Nexus,Tier 3 Producer & Processor,Kennewick,"Benton county, WA","$18,653",Dec 2022
Green And Gold Brands,Tier 2 Producer & Processor,Buckley,"Pierce county, WA","$18,605",Dec 2022
WA Hemp Company,Tier 2 Producer & Processor,Othello,"Adams county, WA","$18,604",Dec 2022
2020 Solutions Soap Lake,Retailer,Soap Lake,"Grant county, WA","$18,564",Dec 2022
Fire Mountain,Tier 1 Producer & Processor,Ariel,"Cowlitz county, WA","$18,452",Dec 2022
Umbrella Industries Usa,Tier 3 Producer & Processor,Sedro Woolley,"Skagit county, WA","$18,414",Dec 2022
Fresh Greens,Retailer,Winthrop,"Okanogan county, WA","$18,391",Dec 2022
Quality Pacific Growers,Tier None Producer & Processor,Raymond,"Pacific county, WA","$17,994",Dec 2022
Alis Group,Processor,Seattle,"King county, WA","$17,918",Dec 2022
Island Green Growers,Tier 2 Producer,Seattle,"King county, WA","$17,456",Dec 2022
Pt Enterprises,Tier None Producer & Processor,Shelton,"Mason county, WA","$17,329",Dec 2022
Gr2,Tier 1 Producer & Processor,Everett,"Snohomish county, WA","$17,256",Dec 2022
Northwest Harvesting Co,Tier 2 Producer & Processor,Elma,"Grays Harbor county, WA","$16,974",Dec 2022
Greensmith,Tier None Producer & Processor,Lind,"Adams county, WA","$16,793",Dec 2022
Orange State,Tier 3 Producer & Processor,Elk,"Spokane county, WA","$16,562",Dec 2022
Ram Family Enterprises,Tier 3 Producer & Processor,Woodinville,"Snohomish county, WA","$16,078",Dec 2022
The Grind House,Tier 2 Producer & Processor,Spokane,"Spokane county, WA","$15,984",Dec 2022
One of a Kind Genetics,Tier None Producer & Processor,Lake Stevens,"Snohomish county, WA","$15,851",Dec 2022
Mt Baker Growers,Tier None Producer & Processor,Bellingham,"Whatcom county, WA","$15,590",Dec 2022
Bulldog Weed,Tier None Producer & Processor,Spokane,"Spokane county, WA","$15,365",Dec 2022
Boggy Boon,Tier None Producer & Processor,Malaga,"Chelan county, WA","$15,248",Dec 2022
Ag Grow,Tier None Producer & Processor,Pullman,"Whitman county, WA","$15,191",Dec 2022
Greensmart,Tier 1 Producer & Processor,Snohomish,"Snohomish county, WA","$15,076",Dec 2022
WA Supply,Tier None Producer & Processor,Seattle,"King county, WA","$14,986",Dec 2022
Kratos 509,Tier 2 Producer & Processor,Yakima,"Yakima county, WA","$14,902",Dec 2022
Amazing Gardens,Tier None Producer & Processor,Tacoma,"Pierce county, WA","$14,765",Dec 2022
Fruity Pines Farms,Tier 1 Producer & Processor,Olympia,"Thurston county, WA","$14,758",Dec 2022
Serenity Gardens,Tier 2 Producer & Processor,Yelm,"Thurston county, WA","$14,527",Dec 2022
Stryps,Tier None Producer & Processor,Seattle,"King county, WA","$14,522",Dec 2022
Skunk Processors,Processor,Blaine,"Whatcom county, WA","$14,452",Dec 2022
